sample,fastq_1,fastq_2,strandedness,id,dex,celltype,geo_id
control_1,0.data/SRR1039508_1.fastq.gz,0.data/SRR1039508_2.fastq.gz,auto,SRR1039508,control,N61311,GSM1275862
treated_1,0.data/SRR1039509_1.fastq.gz,0.data/SRR1039509_2.fastq.gz,auto,SRR1039509,treated,N61311,GSM1275863
control_2,0.data/SRR1039512_1.fastq.gz,0.data/SRR1039512_2.fastq.gz,auto,SRR1039512,control,N052611,GSM1275866
treated_2,0.data/SRR1039513_1.fastq.gz,0.data/SRR1039513_2.fastq.gz,auto,SRR1039513,treated,N052611,GSM1275867
control_3,0.data/SRR1039516_1.fastq.gz,0.data/SRR1039516_2.fastq.gz,auto,SRR1039516,control,N080611,GSM1275870
treated_3,0.data/SRR1039517_1.fastq.gz,0.data/SRR1039517_2.fastq.gz,auto,SRR1039517,treated,N080611,GSM1275871
control_4,0.data/SRR1039520_1.fastq.gz,0.data/SRR1039520_2.fastq.gz,auto,SRR1039520,control,N061011,GSM1275874
treated_4,0.data/SRR1039521_1.fastq.gz,0.data/SRR1039521_2.fastq.gz,auto,SRR1039521,treated,N061011,GSM1275875
